,0
station,urn:ioos:station:NOAA.NOS.CO-OPS:8639348
station_name,"Money Point, VA"
station_code,8639348
sensor,urn:ioos:sensor:NOAA.NOS.CO-OPS:8639348:Y1
lon,-76.3017
lat,36.7783
depth,
standard_name,water_surface_height_above_reference_datum
units,meters
