date_time,water_surface_height_above_reference_datum (m)
2016-09-24 15:00:00+00:00,0.198
2016-09-24 15:06:00+00:00,0.20199999999999999
2016-09-24 15:12:00+00:00,0.207
2016-09-24 15:18:00+00:00,0.21100000000000002
2016-09-24 15:24:00+00:00,0.22
2016-09-24 15:30:00+00:00,0.22899999999999998
2016-09-24 15:36:00+00:00,0.23199999999999998
2016-09-24 15:42:00+00:00,0.225
2016-09-24 15:48:00+00:00,0.239
2016-09-24 15:54:00+00:00,0.247
2016-09-24 16:00:00+00:00,0.239
2016-09-24 16:06:00+00:00,0.252
2016-09-24 16:12:00+00:00,0.24600000000000002
2016-09-24 16:18:00+00:00,0.254
2016-09-24 16:24:00+00:00,0.247
2016-09-24 16:30:00+00:00,0.26
2016-09-24 16:36:00+00:00,0.256
2016-09-24 16:42:00+00:00,0.259
2016-09-24 16:48:00+00:00,0.261
2016-09-24 16:54:00+00:00,0.263
2016-09-24 17:00:00+00:00,0.266
2016-09-24 17:06:00+00:00,0.276
2016-09-24 17:12:00+00:00,0.275
2016-09-24 17:18:00+00:00,0.27899999999999997
2016-09-24 17:24:00+00:00,0.27899999999999997
2016-09-24 17:30:00+00:00,0.281
2016-09-24 17:36:00+00:00,0.27399999999999997
2016-09-24 17:42:00+00:00,0.27899999999999997
2016-09-24 17:48:00+00:00,0.287
2016-09-24 17:54:00+00:00,0.27699999999999997
2016-09-24 18:00:00+00:00,0.285
2016-09-24 18:06:00+00:00,0.289
2016-09-24 18:12:00+00:00,0.287
2016-09-24 18:18:00+00:00,0.29
2016-09-24 18:24:00+00:00,0.29100000000000004
2016-09-24 18:30:00+00:00,0.297
2016-09-24 18:36:00+00:00,0.29100000000000004
2016-09-24 18:42:00+00:00,0.29600000000000004
2016-09-24 18:48:00+00:00,0.29600000000000004
2016-09-24 18:54:00+00:00,0.293
2016-09-24 19:00:00+00:00,0.298
2016-09-24 19:06:00+00:00,0.295
2016-09-24 19:12:00+00:00,0.298
2016-09-24 19:18:00+00:00,0.304
2016-09-24 19:24:00+00:00,0.29600000000000004
2016-09-24 19:30:00+00:00,0.304
2016-09-24 19:36:00+00:00,0.301
2016-09-24 19:42:00+00:00,0.311
2016-09-24 19:48:00+00:00,0.317
2016-09-24 19:54:00+00:00,0.305
2016-09-24 20:00:00+00:00,0.315
2016-09-24 20:06:00+00:00,0.311
2016-09-24 20:12:00+00:00,0.308
2016-09-24 20:18:00+00:00,0.314
2016-09-24 20:24:00+00:00,0.314
2016-09-24 20:30:00+00:00,0.32
2016-09-24 20:36:00+00:00,0.32299999999999995
2016-09-24 20:42:00+00:00,0.325
2016-09-24 20:48:00+00:00,0.32
2016-09-24 20:54:00+00:00,0.332
2016-09-24 21:00:00+00:00,0.322
2016-09-24 21:06:00+00:00,0.326
2016-09-24 21:12:00+00:00,0.324
2016-09-24 21:18:00+00:00,0.327
2016-09-24 21:24:00+00:00,0.32899999999999996
