date_time,water_surface_height_above_reference_datum (m)
2016-09-24 15:00:00+00:00,0.515
2016-09-24 15:06:00+00:00,0.541
2016-09-24 15:12:00+00:00,0.565
2016-09-24 15:18:00+00:00,0.594
2016-09-24 15:24:00+00:00,0.618
2016-09-24 15:30:00+00:00,0.635
2016-09-24 15:36:00+00:00,0.654
2016-09-24 15:42:00+00:00,0.6779999999999999
2016-09-24 15:48:00+00:00,0.708
2016-09-24 15:54:00+00:00,0.741
2016-09-24 16:00:00+00:00,0.765
2016-09-24 16:06:00+00:00,0.79
2016-09-24 16:12:00+00:00,0.8220000000000001
2016-09-24 16:18:00+00:00,0.852
2016-09-24 16:24:00+00:00,0.878
2016-09-24 16:30:00+00:00,0.902
2016-09-24 16:36:00+00:00,0.927
2016-09-24 16:42:00+00:00,0.955
2016-09-24 16:48:00+00:00,0.9790000000000001
2016-09-24 16:54:00+00:00,0.996
2016-09-24 17:00:00+00:00,1.021
2016-09-24 17:06:00+00:00,1.053
2016-09-24 17:12:00+00:00,1.078
2016-09-24 17:18:00+00:00,1.097
2016-09-24 17:24:00+00:00,1.1179999999999999
2016-09-24 17:30:00+00:00,1.137
2016-09-24 17:36:00+00:00,1.1540000000000001
2016-09-24 17:42:00+00:00,1.176
2016-09-24 17:48:00+00:00,1.193
2016-09-24 17:54:00+00:00,1.209
2016-09-24 18:00:00+00:00,1.22
2016-09-24 18:06:00+00:00,1.232
2016-09-24 18:12:00+00:00,1.244
2016-09-24 18:18:00+00:00,1.256
2016-09-24 18:24:00+00:00,1.2670000000000001
2016-09-24 18:30:00+00:00,1.274
2016-09-24 18:36:00+00:00,1.28
2016-09-24 18:42:00+00:00,1.2890000000000001
2016-09-24 18:48:00+00:00,1.3
2016-09-24 18:54:00+00:00,1.3090000000000002
2016-09-24 19:00:00+00:00,1.31
2016-09-24 19:06:00+00:00,1.308
2016-09-24 19:12:00+00:00,1.311
2016-09-24 19:18:00+00:00,1.314
2016-09-24 19:24:00+00:00,1.3130000000000002
2016-09-24 19:30:00+00:00,1.307
2016-09-24 19:36:00+00:00,1.301
2016-09-24 19:42:00+00:00,1.2990000000000002
2016-09-24 19:48:00+00:00,1.296
2016-09-24 19:54:00+00:00,1.2890000000000001
2016-09-24 20:00:00+00:00,1.281
2016-09-24 20:06:00+00:00,1.2770000000000001
2016-09-24 20:12:00+00:00,1.27
2016-09-24 20:18:00+00:00,1.256
2016-09-24 20:24:00+00:00,1.238
2016-09-24 20:30:00+00:00,1.222
2016-09-24 20:36:00+00:00,1.2109999999999999
2016-09-24 20:42:00+00:00,1.2009999999999998
2016-09-24 20:48:00+00:00,1.186
2016-09-24 20:54:00+00:00,1.169
2016-09-24 21:00:00+00:00,1.151
2016-09-24 21:06:00+00:00,1.135
2016-09-24 21:12:00+00:00,1.125
2016-09-24 21:18:00+00:00,1.113
2016-09-24 21:24:00+00:00,1.093
2016-09-24 21:30:00+00:00,1.071
2016-09-24 21:36:00+00:00,1.048
2016-09-24 21:42:00+00:00,1.026
2016-09-24 21:48:00+00:00,1.004
2016-09-24 21:54:00+00:00,0.98
2016-09-24 22:00:00+00:00,0.9590000000000001
2016-09-24 22:06:00+00:00,0.935
2016-09-24 22:12:00+00:00,0.9079999999999999
2016-09-24 22:18:00+00:00,0.884
2016-09-24 22:24:00+00:00,0.862
2016-09-24 22:30:00+00:00,0.841
