,0
station,urn:ioos:station:NOAA.NOS.CO-OPS:8720218
station_name,"Mayport (Bar Pilots Dock), FL"
station_code,8720218
sensor,urn:ioos:sensor:NOAA.NOS.CO-OPS:8720218:A1
lon,-81.4279
lat,30.3982
depth,
standard_name,water_surface_height_above_reference_datum
units,meters
