,0
station,urn:ioos:station:wmo:sanf1
station_name,"Sand Key, FL"
station_code,sanf1
sensor,urn:ioos:sensor:wmo:sanf1::anemometer1
lon,-81.877
lat,24.456
depth,-14.6
