,0
station,urn:ioos:station:wmo:lonf1
station_name,"Long Key, FL"
station_code,lonf1
sensor,urn:ioos:sensor:wmo:lonf1::anemometer1
lon,-80.86399999999999
lat,24.844
depth,-6.7
