date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2016-09-24 15:01:00+00:00,0.77,10.53,8.19,,287.0
2016-09-24 16:31:00+00:00,0.75,10.53,8.75,,287.0
2016-09-24 17:01:00+00:00,0.65,11.11,8.22,,268.0
2016-09-24 18:01:00+00:00,0.76,10.53,8.67,,278.0
2016-09-24 18:31:00+00:00,0.77,11.11,8.43,,284.0
2016-09-24 19:01:00+00:00,0.71,10.53,8.09,,277.0
2016-09-24 20:01:00+00:00,0.74,11.11,6.6,,279.0
2016-09-24 20:31:00+00:00,0.77,11.11,6.62,,275.0
2016-09-24 21:01:00+00:00,0.8,11.76,6.7,,296.0
2016-09-24 21:31:00+00:00,0.72,11.11,5.99,,288.0
2016-09-24 22:31:00+00:00,0.74,10.53,5.86,,278.0
2016-09-24 23:31:00+00:00,0.86,11.11,6.52,,285.0
2016-09-25 00:01:00+00:00,0.79,11.11,6.35,,281.0
2016-09-25 01:01:00+00:00,0.77,10.53,6.39,,288.0
2016-09-25 01:31:00+00:00,0.78,11.11,6.68,,284.0
2016-09-25 02:01:00+00:00,0.84,11.11,7.33,,284.0
2016-09-25 03:01:00+00:00,0.88,10.53,7.53,,292.0
2016-09-25 03:31:00+00:00,0.8,9.88,7.2,,288.0
2016-09-25 04:01:00+00:00,0.81,11.11,7.31,,288.0
2016-09-25 04:31:00+00:00,0.83,9.88,7.43,,292.0
2016-09-25 05:01:00+00:00,0.89,11.11,7.45,,292.0
2016-09-25 05:31:00+00:00,0.86,10.53,7.37,,287.0
2016-09-25 06:01:00+00:00,0.89,11.11,7.67,,281.0
2016-09-25 06:31:00+00:00,0.93,11.11,7.82,,285.0
2016-09-25 07:31:00+00:00,0.89,10.53,7.75,,282.0
2016-09-25 08:01:00+00:00,0.87,11.11,8.12,,284.0
2016-09-25 08:31:00+00:00,0.93,11.11,8.5,,288.0
2016-09-25 09:01:00+00:00,0.82,11.76,8.38,,279.0
2016-09-25 09:31:00+00:00,0.77,11.11,8.14,,289.0
2016-09-25 10:01:00+00:00,0.82,11.11,8.57,,284.0
2016-09-25 10:31:00+00:00,0.73,10.53,8.25,,287.0
2016-09-25 11:01:00+00:00,0.77,11.76,8.3,,288.0
2016-09-25 12:01:00+00:00,0.74,11.76,7.03,,288.0
2016-09-25 12:31:00+00:00,0.82,11.11,7.38,,288.0
2016-09-25 13:01:00+00:00,0.77,11.76,7.0,,279.0
2016-09-25 13:31:00+00:00,0.79,10.53,7.33,,285.0
2016-09-25 14:01:00+00:00,0.78,11.11,6.86,,291.0
2016-09-25 15:01:00+00:00,0.91,10.53,7.64,,295.0
2016-09-25 15:31:00+00:00,0.84,11.11,7.12,,287.0
2016-09-25 16:01:00+00:00,0.95,11.11,7.32,,302.0
2016-09-25 16:31:00+00:00,1.01,10.53,6.88,,291.0
2016-09-25 17:01:00+00:00,0.89,11.76,5.84,,285.0
2016-09-25 17:31:00+00:00,0.92,11.11,5.55,,281.0
2016-09-25 18:01:00+00:00,1.0,9.88,5.46,,285.0
2016-09-25 18:31:00+00:00,1.01,9.88,5.2,,277.0
2016-09-25 19:31:00+00:00,1.01,11.11,5.18,,275.0
2016-09-25 20:01:00+00:00,1.01,11.76,5.15,,287.0
2016-09-25 21:01:00+00:00,1.1,11.11,4.85,,289.0
2016-09-25 21:31:00+00:00,1.11,9.88,4.69,,288.0
2016-09-25 22:01:00+00:00,1.03,10.53,4.64,,292.0
2016-09-25 22:31:00+00:00,1.1,4.55,4.59,,227.0
2016-09-25 23:01:00+00:00,1.12,11.11,4.72,,287.0
2016-09-26 00:01:00+00:00,1.09,4.76,4.4,,229.0
2016-09-26 00:31:00+00:00,1.1,11.11,4.38,,272.0
2016-09-26 01:01:00+00:00,1.13,11.11,4.54,,292.0
2016-09-26 02:01:00+00:00,1.1,11.11,4.58,,289.0
2016-09-26 02:31:00+00:00,1.13,10.53,4.51,,278.0
2016-09-26 03:01:00+00:00,1.27,10.53,4.81,,277.0
2016-09-26 04:01:00+00:00,1.22,5.0,4.78,,232.0
2016-09-26 04:31:00+00:00,1.18,5.26,4.69,,232.0
2016-09-26 05:01:00+00:00,1.25,5.26,4.81,,232.0
2016-09-26 05:31:00+00:00,1.13,5.26,4.74,,233.0
2016-09-26 06:01:00+00:00,1.16,5.26,4.88,,236.0
2016-09-26 06:31:00+00:00,1.13,5.56,4.78,,239.0
2016-09-26 08:01:00+00:00,1.16,9.88,4.68,,271.0
2016-09-26 08:31:00+00:00,1.12,9.88,4.72,,281.0
2016-09-26 09:01:00+00:00,1.15,5.26,4.76,,237.0
2016-09-26 11:01:00+00:00,1.06,5.26,4.65,,236.0
2016-09-26 11:31:00+00:00,1.07,9.88,4.77,,284.0
2016-09-26 12:01:00+00:00,0.98,5.26,4.59,,233.0
2016-09-26 13:01:00+00:00,1.1,9.88,4.4,,284.0
2016-09-26 13:31:00+00:00,1.11,9.88,4.23,,282.0
2016-09-26 14:01:00+00:00,1.17,9.88,4.26,,281.0
2016-09-26 15:01:00+00:00,1.24,4.76,4.49,,242.0
2016-09-26 15:31:00+00:00,1.28,5.0,4.51,,246.0
2016-09-26 16:01:00+00:00,1.27,5.26,4.45,,240.0
2016-09-26 16:31:00+00:00,1.28,5.56,4.46,,234.0
2016-09-26 17:01:00+00:00,1.27,5.56,4.45,,234.0
2016-09-26 17:31:00+00:00,1.3,5.56,4.4,,240.0
2016-09-26 18:01:00+00:00,1.36,5.26,4.48,,239.0
2016-09-26 19:01:00+00:00,1.19,5.88,4.44,,239.0
2016-09-26 19:31:00+00:00,1.18,5.88,4.62,,237.0
2016-09-26 20:01:00+00:00,1.18,5.88,4.57,,242.0
2016-09-26 20:31:00+00:00,1.16,5.88,4.39,,239.0
2016-09-26 21:01:00+00:00,1.2,9.09,4.62,,271.0
2016-09-26 21:31:00+00:00,1.09,5.26,4.41,,236.0
2016-09-26 22:01:00+00:00,1.14,9.88,4.51,,278.0
2016-09-26 23:01:00+00:00,1.04,5.0,4.42,,240.0
2016-09-26 23:31:00+00:00,1.02,9.09,4.48,,265.0
2016-09-27 00:31:00+00:00,1.12,5.0,4.36,,237.0
2016-09-27 01:31:00+00:00,1.08,5.0,4.4,,236.0
2016-09-27 02:01:00+00:00,1.1,4.76,4.55,,239.0
2016-09-27 02:31:00+00:00,1.06,5.0,4.37,,243.0
2016-09-27 03:31:00+00:00,0.97,4.76,4.43,,236.0
2016-09-27 04:01:00+00:00,0.96,4.76,4.54,,239.0
2016-09-27 05:01:00+00:00,0.95,4.55,4.65,,237.0
2016-09-27 06:01:00+00:00,1.0,4.76,4.66,,240.0
