date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2016-09-24 15:50:00+00:00,0.91,10.81,5.9,,270.0
2016-09-24 16:50:00+00:00,0.94,10.81,5.32,,267.0
2016-09-24 17:50:00+00:00,0.98,10.81,5.81,,279.0
2016-09-24 18:50:00+00:00,0.93,11.43,5.43,,281.0
2016-09-24 19:50:00+00:00,0.98,10.0,5.68,,267.0
2016-09-24 20:50:00+00:00,0.94,10.81,5.08,,269.0
2016-09-24 21:50:00+00:00,1.09,10.81,5.49,,267.0
2016-09-24 22:50:00+00:00,0.98,10.81,5.37,,274.0
2016-09-24 23:50:00+00:00,1.02,10.81,5.42,,290.0
2016-09-25 00:50:00+00:00,1.04,10.0,5.64,,273.0
2016-09-25 01:50:00+00:00,0.97,10.0,5.67,,278.0
2016-09-25 02:50:00+00:00,1.03,10.0,5.98,,281.0
2016-09-25 03:50:00+00:00,1.11,10.0,6.36,,281.0
2016-09-25 04:50:00+00:00,1.05,10.81,6.46,,284.0
2016-09-25 05:50:00+00:00,1.06,10.81,6.63,,260.0
2016-09-25 06:50:00+00:00,1.05,10.81,6.7,,267.0
2016-09-25 07:50:00+00:00,1.12,10.0,6.78,,275.0
2016-09-25 08:50:00+00:00,1.09,10.81,6.72,,275.0
2016-09-25 09:50:00+00:00,1.02,10.81,5.84,,277.0
2016-09-25 10:50:00+00:00,0.98,10.0,5.46,,268.0
2016-09-25 11:50:00+00:00,1.09,10.0,5.64,,285.0
2016-09-25 12:50:00+00:00,1.09,11.43,5.34,,275.0
2016-09-25 13:50:00+00:00,1.07,10.81,4.95,,261.0
2016-09-25 14:50:00+00:00,1.1,10.0,4.77,,278.0
2016-09-25 15:50:00+00:00,1.14,10.81,4.7,,267.0
2016-09-25 16:50:00+00:00,1.22,10.81,4.86,,265.0
2016-09-25 17:50:00+00:00,1.28,10.0,4.93,,269.0
2016-09-25 18:50:00+00:00,1.17,10.81,4.69,,298.0
2016-09-25 19:50:00+00:00,1.26,10.81,4.88,,276.0
2016-09-25 20:50:00+00:00,1.37,10.81,5.03,,272.0
2016-09-25 21:50:00+00:00,1.41,10.0,4.96,,278.0
2016-09-25 22:50:00+00:00,1.44,10.81,4.97,,276.0
2016-09-25 23:50:00+00:00,1.5,10.0,4.97,,276.0
2016-09-26 00:50:00+00:00,1.4,10.0,4.78,,272.0
2016-09-26 01:50:00+00:00,1.49,10.0,4.86,,269.0
2016-09-26 02:50:00+00:00,1.41,9.09,4.7,,277.0
2016-09-26 03:50:00+00:00,1.54,5.26,4.75,,229.0
2016-09-26 04:50:00+00:00,1.67,5.26,4.7,,223.0
2016-09-26 05:50:00+00:00,1.56,5.56,4.81,,238.0
2016-09-26 06:50:00+00:00,1.51,6.25,4.89,,245.0
2016-09-26 07:50:00+00:00,1.58,5.88,4.89,,236.0
