date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2016-09-24 15:50:00+00:00,1.36,6.25,4.39,,282.0
2016-09-24 16:50:00+00:00,1.39,6.67,4.45,,278.0
2016-09-24 17:50:00+00:00,1.41,5.0,4.41,,266.0
2016-09-24 18:50:00+00:00,1.38,6.25,4.49,,286.0
2016-09-24 19:50:00+00:00,1.29,6.67,4.37,,275.0
2016-09-24 20:50:00+00:00,1.42,6.67,4.51,,292.0
2016-09-24 21:50:00+00:00,1.52,6.67,4.85,,272.0
2016-09-24 22:50:00+00:00,1.61,6.67,4.85,,283.0
2016-09-24 23:50:00+00:00,1.62,6.25,4.83,,278.0
2016-09-25 00:50:00+00:00,1.58,7.14,5.04,,292.0
2016-09-25 01:50:00+00:00,1.57,7.14,5.03,,288.0
2016-09-25 02:50:00+00:00,1.62,6.67,5.05,,286.0
2016-09-25 03:50:00+00:00,1.48,7.69,4.98,,285.0
2016-09-25 04:50:00+00:00,1.54,6.67,4.93,,283.0
2016-09-25 05:50:00+00:00,1.61,7.14,4.95,,282.0
2016-09-25 06:50:00+00:00,1.65,7.14,4.92,,289.0
2016-09-25 07:50:00+00:00,1.71,6.67,5.08,,285.0
2016-09-25 08:50:00+00:00,1.73,7.14,4.92,,291.0
2016-09-25 09:50:00+00:00,1.69,5.88,4.78,,285.0
2016-09-25 10:50:00+00:00,1.65,6.67,4.75,,285.0
2016-09-25 11:50:00+00:00,1.68,6.25,4.81,,280.0
2016-09-25 12:50:00+00:00,1.65,6.67,4.76,,289.0
2016-09-25 13:50:00+00:00,1.61,6.25,4.67,,285.0
2016-09-25 14:50:00+00:00,1.75,6.25,4.88,,280.0
2016-09-25 15:50:00+00:00,1.65,6.25,4.86,,285.0
2016-09-25 16:50:00+00:00,1.66,6.67,4.86,,287.0
2016-09-25 17:50:00+00:00,1.65,6.67,4.86,,285.0
2016-09-25 18:50:00+00:00,1.67,7.14,4.88,,290.0
2016-09-25 19:50:00+00:00,1.68,7.14,4.88,,293.0
2016-09-25 20:50:00+00:00,1.69,6.67,5.12,,294.0
2016-09-25 21:50:00+00:00,1.47,7.69,4.95,,295.0
2016-09-25 22:50:00+00:00,1.41,6.67,4.88,,290.0
2016-09-25 23:50:00+00:00,1.42,6.67,5.02,,279.0
2016-09-26 00:50:00+00:00,1.45,7.14,4.89,,284.0
2016-09-26 01:50:00+00:00,1.44,6.67,4.97,,282.0
2016-09-26 02:50:00+00:00,1.48,6.67,4.81,,284.0
2016-09-26 03:50:00+00:00,1.47,7.14,4.74,,284.0
2016-09-26 04:50:00+00:00,1.44,7.14,4.79,,281.0
2016-09-26 05:50:00+00:00,1.45,6.67,4.91,,294.0
2016-09-26 06:50:00+00:00,1.44,7.14,4.82,,285.0
2016-09-26 07:50:00+00:00,1.47,6.67,4.74,,286.0
2016-09-26 08:50:00+00:00,1.43,6.67,4.81,,285.0
2016-09-26 09:50:00+00:00,1.41,6.25,4.61,,287.0
2016-09-26 10:50:00+00:00,1.43,6.25,4.56,,284.0
2016-09-26 11:50:00+00:00,1.36,6.67,4.51,,284.0
2016-09-26 12:50:00+00:00,1.4,6.25,4.66,,288.0
2016-09-26 13:50:00+00:00,1.41,5.88,4.56,,279.0
2016-09-26 14:50:00+00:00,1.38,6.67,4.65,,281.0
2016-09-26 15:50:00+00:00,1.34,6.25,4.54,,276.0
2016-09-26 16:50:00+00:00,1.34,6.67,4.55,,284.0
2016-09-26 17:50:00+00:00,1.26,6.25,4.59,,276.0
2016-09-26 18:50:00+00:00,1.24,6.67,4.53,,284.0
2016-09-26 19:50:00+00:00,1.32,6.25,4.62,,287.0
2016-09-26 20:50:00+00:00,1.23,6.67,4.42,,276.0
2016-09-26 21:50:00+00:00,1.28,6.25,4.41,,287.0
2016-09-26 22:50:00+00:00,1.23,5.88,4.41,,290.0
2016-09-26 23:50:00+00:00,1.28,5.88,4.35,,281.0
2016-09-27 00:50:00+00:00,1.23,6.25,4.33,,281.0
2016-09-27 01:50:00+00:00,1.25,5.56,4.32,,278.0
2016-09-27 02:50:00+00:00,1.21,6.25,4.28,,279.0
2016-09-27 03:50:00+00:00,1.33,6.25,4.43,,286.0
2016-09-27 04:50:00+00:00,1.31,6.25,4.44,,275.0
