date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2016-09-24 15:11:00+00:00,0.99,9.88,8.01,,290.0
2016-09-24 16:11:00+00:00,1.06,10.53,8.69,,280.0
2016-09-24 16:41:00+00:00,1.05,11.11,8.67,,287.0
2016-09-24 17:11:00+00:00,1.24,9.88,8.82,,273.0
2016-09-24 17:41:00+00:00,1.07,11.11,8.71,,286.0
2016-09-24 18:11:00+00:00,1.04,9.88,8.59,,286.0
2016-09-24 18:41:00+00:00,1.18,10.53,8.94,,280.0
2016-09-24 19:11:00+00:00,1.07,11.11,8.98,,290.0
2016-09-24 19:41:00+00:00,1.05,10.53,8.71,,287.0
2016-09-24 20:11:00+00:00,0.97,10.53,8.63,,272.0
2016-09-24 20:41:00+00:00,0.96,9.88,8.41,,284.0
2016-09-24 21:11:00+00:00,1.06,9.88,7.7,,279.0
2016-09-24 21:41:00+00:00,1.04,9.88,6.2,,279.0
2016-09-24 22:11:00+00:00,1.07,11.11,5.62,,276.0
2016-09-24 22:41:00+00:00,1.22,9.88,5.65,,272.0
2016-09-24 23:11:00+00:00,1.19,10.53,5.42,,284.0
2016-09-24 23:41:00+00:00,1.19,11.76,5.06,,286.0
2016-09-25 00:11:00+00:00,1.14,10.53,4.89,,279.0
2016-09-25 00:41:00+00:00,1.14,11.11,4.59,,280.0
2016-09-25 01:11:00+00:00,1.24,11.11,4.79,,283.0
2016-09-25 01:41:00+00:00,1.29,10.53,4.94,,276.0
2016-09-25 02:11:00+00:00,1.42,10.53,5.0,,279.0
2016-09-25 02:41:00+00:00,1.47,11.11,5.01,,284.0
2016-09-25 03:11:00+00:00,1.46,10.53,5.0,,276.0
2016-09-25 03:41:00+00:00,1.53,5.56,5.01,,206.0
2016-09-25 04:11:00+00:00,1.8,11.11,5.52,,290.0
2016-09-25 04:41:00+00:00,1.64,10.53,5.21,,279.0
2016-09-25 05:11:00+00:00,1.6,10.53,5.33,,287.0
2016-09-25 05:41:00+00:00,1.56,10.53,5.18,,269.0
2016-09-25 06:11:00+00:00,1.58,9.88,5.23,,286.0
