date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2016-09-24 16:23:00+00:00,0.56,9.09,5.45,,182.0
2016-09-24 16:53:00+00:00,0.55,9.88,5.49,,175.0
2016-09-24 17:53:00+00:00,0.54,9.88,5.66,,174.0
2016-09-24 18:23:00+00:00,0.52,9.88,5.45,,148.0
2016-09-24 18:53:00+00:00,0.51,9.09,5.61,,200.0
2016-09-24 19:53:00+00:00,0.54,13.33,5.38,,195.0
2016-09-24 20:23:00+00:00,0.54,7.14,5.2,,212.0
2016-09-24 20:53:00+00:00,0.59,11.76,5.0,,196.0
2016-09-24 21:23:00+00:00,0.53,9.88,4.63,,178.0
2016-09-24 22:23:00+00:00,0.59,8.33,4.58,,205.0
2016-09-24 23:23:00+00:00,0.6,7.14,4.35,,196.0
2016-09-24 23:53:00+00:00,0.58,8.33,4.8,,193.0
2016-09-25 00:53:00+00:00,0.57,7.14,5.44,,196.0
2016-09-25 01:23:00+00:00,0.54,9.88,5.16,,183.0
2016-09-25 01:53:00+00:00,0.53,9.09,5.33,,188.0
2016-09-25 02:53:00+00:00,0.54,9.09,5.31,,181.0
2016-09-25 03:53:00+00:00,0.52,9.09,5.75,,188.0
2016-09-25 04:23:00+00:00,0.49,8.33,5.64,,175.0
2016-09-25 04:53:00+00:00,0.49,9.09,5.9,,182.0
2016-09-25 05:23:00+00:00,0.58,8.33,6.56,,191.0
2016-09-25 05:53:00+00:00,0.55,9.09,6.53,,196.0
2016-09-25 06:23:00+00:00,0.5,8.33,6.43,,198.0
2016-09-25 06:53:00+00:00,0.53,8.33,6.73,,199.0
2016-09-25 07:23:00+00:00,0.55,8.33,6.97,,198.0
2016-09-25 07:53:00+00:00,0.53,8.33,6.8,,203.0
2016-09-25 08:23:00+00:00,0.54,7.69,6.61,,199.0
2016-09-25 08:53:00+00:00,0.58,8.33,6.61,,200.0
2016-09-25 09:23:00+00:00,0.64,8.33,6.68,,198.0
2016-09-25 09:53:00+00:00,0.69,8.33,6.99,,195.0
2016-09-25 10:23:00+00:00,0.72,7.69,6.96,,196.0
2016-09-25 10:53:00+00:00,0.77,7.69,7.02,,193.0
2016-09-25 11:53:00+00:00,0.76,7.69,7.05,,196.0
