date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2016-09-24 15:00:00+00:00,0.06,2.3,,,
2016-09-24 16:00:00+00:00,0.05,2.2,,,
2016-09-24 17:00:00+00:00,0.05,2.1,,,
2016-09-24 18:00:00+00:00,0.05,2.2,,,
2016-09-24 19:00:00+00:00,0.08,2.3,,,
2016-09-24 20:00:00+00:00,0.06,2.1,,,
2016-09-24 21:00:00+00:00,0.06,2.2,,,
2016-09-24 22:00:00+00:00,0.08,2.0,,,
2016-09-25 00:00:00+00:00,0.09,2.0,,,
2016-09-25 03:00:00+00:00,0.05,2.0,,,
2016-09-25 04:00:00+00:00,0.06,2.3,,,
2016-09-25 05:00:00+00:00,0.06,2.2,,,
2016-09-25 06:00:00+00:00,0.04,2.2,,,
2016-09-25 07:00:00+00:00,0.04,2.3,,,
2016-09-25 08:00:00+00:00,0.04,2.2,,,
2016-09-25 10:00:00+00:00,0.05,2.2,,,
2016-09-25 11:00:00+00:00,0.05,2.2,,,
2016-09-25 12:00:00+00:00,0.04,2.0,,,
2016-09-25 13:00:00+00:00,0.07,2.2,,,
2016-09-25 14:00:00+00:00,0.09,2.5,,,
2016-09-25 15:00:00+00:00,0.11,2.7,,,
2016-09-25 16:00:00+00:00,0.07,2.4,,,
2016-09-25 17:00:00+00:00,0.05,2.2,,,
2016-09-25 18:00:00+00:00,0.06,2.8,,,
2016-09-25 19:00:00+00:00,0.07,2.2,,,
2016-09-25 20:00:00+00:00,0.1,2.3,,,
2016-09-25 21:00:00+00:00,0.1,2.1,,,
2016-09-25 22:00:00+00:00,0.04,2.4,,,
2016-09-25 23:00:00+00:00,0.08,2.8,,,
2016-09-26 00:00:00+00:00,0.07,2.2,,,
2016-09-26 01:00:00+00:00,0.06,2.1,,,
2016-09-26 02:00:00+00:00,0.03,2.2,,,
2016-09-26 04:00:00+00:00,0.05,2.0,,,
2016-09-26 05:00:00+00:00,0.03,2.0,,,
2016-09-26 06:00:00+00:00,0.1,2.2,,,
2016-09-26 07:00:00+00:00,0.17,2.7,,,
2016-09-26 08:00:00+00:00,0.17,2.6,,,
2016-09-26 09:00:00+00:00,0.15,2.3,,,
2016-09-26 10:00:00+00:00,0.17,2.0,,,
2016-09-26 11:00:00+00:00,0.08,2.1,,,
2016-09-26 12:00:00+00:00,0.04,2.3,,,
2016-09-26 13:00:00+00:00,0.05,2.0,,,
2016-09-26 15:00:00+00:00,0.08,2.1,,,
2016-09-26 16:00:00+00:00,0.07,2.0,,,
2016-09-26 17:00:00+00:00,0.09,2.2,,,
2016-09-26 18:00:00+00:00,0.15,2.5,,,
2016-09-26 19:00:00+00:00,0.11,2.6,,,
2016-09-26 20:00:00+00:00,0.12,2.5,,,
2016-09-26 21:00:00+00:00,0.14,2.3,,,
2016-09-26 22:00:00+00:00,0.18,2.0,,,
2016-09-26 23:00:00+00:00,0.08,2.2,,,
2016-09-27 00:00:00+00:00,0.05,2.2,,,
2016-09-27 01:00:00+00:00,0.05,2.2,,,
