date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2016-09-24 15:50:00+00:00,1.34,10.81,7.6,,275.0
2016-09-24 16:50:00+00:00,1.58,10.81,8.47,,291.0
2016-09-24 17:50:00+00:00,1.76,10.0,8.84,,290.0
2016-09-24 18:50:00+00:00,1.52,10.0,8.82,,289.0
2016-09-24 19:50:00+00:00,1.46,10.81,8.66,,287.0
2016-09-24 20:50:00+00:00,1.59,10.81,8.91,,290.0
2016-09-24 21:50:00+00:00,1.73,10.81,9.04,,281.0
2016-09-24 22:50:00+00:00,1.66,10.0,8.88,,283.0
2016-09-24 23:50:00+00:00,1.66,10.81,8.75,,298.0
2016-09-25 00:50:00+00:00,1.82,10.81,9.02,,291.0
2016-09-25 01:50:00+00:00,1.81,11.43,8.3,,299.0
2016-09-25 02:50:00+00:00,1.93,10.0,7.69,,282.0
2016-09-25 03:50:00+00:00,1.98,10.81,7.58,,297.0
2016-09-25 04:50:00+00:00,1.91,10.81,7.01,,308.0
2016-09-25 05:50:00+00:00,2.19,10.81,7.46,,303.0
2016-09-25 06:50:00+00:00,1.87,11.43,7.27,,305.0
2016-09-25 07:50:00+00:00,2.01,10.81,7.4,,285.0
2016-09-25 08:50:00+00:00,1.86,10.0,6.72,,297.0
2016-09-25 09:50:00+00:00,1.93,10.81,6.82,,304.0
2016-09-25 10:50:00+00:00,1.82,10.81,6.47,,281.0
2016-09-25 11:50:00+00:00,1.79,10.0,6.48,,298.0
2016-09-25 12:50:00+00:00,1.88,10.81,6.26,,284.0
2016-09-25 13:50:00+00:00,1.78,10.0,5.81,,279.0
2016-09-25 14:50:00+00:00,1.75,10.81,5.28,,271.0
2016-09-25 15:50:00+00:00,1.69,5.26,5.25,,198.0
2016-09-25 16:50:00+00:00,1.41,10.81,5.11,,276.0
2016-09-25 17:50:00+00:00,1.49,8.33,5.32,,229.0
2016-09-25 18:50:00+00:00,1.45,10.0,5.21,,273.0
2016-09-25 19:50:00+00:00,1.59,8.33,5.4,,243.0
2016-09-25 20:50:00+00:00,1.41,9.09,4.97,,238.0
2016-09-25 21:50:00+00:00,1.41,8.33,5.21,,234.0
2016-09-25 22:50:00+00:00,1.29,10.0,4.92,,232.0
2016-09-25 23:50:00+00:00,1.26,10.0,4.98,,254.0
2016-09-26 00:50:00+00:00,1.17,7.69,4.86,,222.0
2016-09-26 01:50:00+00:00,1.19,9.09,5.05,,240.0
2016-09-26 02:50:00+00:00,1.1,7.69,5.08,,218.0
2016-09-26 03:50:00+00:00,1.0,9.09,4.94,,248.0
2016-09-26 04:50:00+00:00,0.95,7.69,4.84,,236.0
2016-09-26 05:50:00+00:00,0.95,8.33,4.95,,235.0
2016-09-26 06:50:00+00:00,1.01,8.33,5.15,,228.0
2016-09-26 07:50:00+00:00,0.92,8.33,4.59,,233.0
2016-09-26 08:50:00+00:00,0.96,7.69,4.74,,245.0
2016-09-26 09:50:00+00:00,0.99,9.09,4.75,,282.0
2016-09-26 10:50:00+00:00,1.0,9.09,4.84,,268.0
2016-09-26 11:50:00+00:00,0.96,8.33,4.4,,246.0
2016-09-26 12:50:00+00:00,0.97,10.0,4.3,,204.0
2016-09-26 13:50:00+00:00,0.97,9.09,4.73,,277.0
2016-09-26 14:50:00+00:00,0.97,9.09,5.06,,286.0
2016-09-26 15:50:00+00:00,0.96,8.33,5.01,,269.0
2016-09-26 16:50:00+00:00,0.98,8.33,5.21,,282.0
2016-09-26 17:50:00+00:00,0.92,8.33,5.04,,275.0
2016-09-26 18:50:00+00:00,0.89,8.33,4.99,,255.0
2016-09-26 19:50:00+00:00,0.86,8.33,5.03,,263.0
2016-09-26 20:50:00+00:00,0.82,7.69,4.91,,248.0
2016-09-26 21:50:00+00:00,0.79,8.33,5.09,,258.0
2016-09-26 22:50:00+00:00,0.8,7.69,5.18,,247.0
2016-09-26 23:50:00+00:00,0.81,7.69,4.57,,250.0
2016-09-27 00:50:00+00:00,0.9,7.14,4.54,,237.0
2016-09-27 01:50:00+00:00,1.02,4.17,4.42,,296.0
2016-09-27 02:50:00+00:00,1.06,7.69,4.51,,232.0
2016-09-27 03:50:00+00:00,1.1,8.33,4.64,,241.0
2016-09-27 04:50:00+00:00,1.12,6.67,4.85,,252.0
2016-09-27 05:50:00+00:00,1.2,5.88,4.77,,254.0
2016-09-27 06:50:00+00:00,1.13,5.0,4.56,,286.0
2016-09-27 07:50:00+00:00,1.14,5.26,4.86,,281.0
2016-09-27 08:50:00+00:00,1.12,9.09,4.99,,241.0
2016-09-27 09:50:00+00:00,1.08,8.33,5.08,,244.0
2016-09-27 10:50:00+00:00,1.05,9.09,4.87,,265.0
2016-09-27 11:50:00+00:00,1.01,5.26,4.86,,286.0
2016-09-27 12:50:00+00:00,0.99,5.88,4.94,,273.0
2016-09-27 13:50:00+00:00,0.96,7.69,5.06,,260.0
2016-09-27 14:50:00+00:00,0.97,5.56,5.01,,287.0
2016-09-27 15:50:00+00:00,1.13,5.26,4.85,,289.0
2016-09-27 16:50:00+00:00,1.2,5.26,4.77,,296.0
2016-09-27 17:50:00+00:00,1.3,5.56,4.77,,293.0
2016-09-27 18:50:00+00:00,1.36,5.56,4.86,,303.0
2016-09-27 19:50:00+00:00,1.33,5.88,4.76,,283.0
2016-09-27 20:50:00+00:00,1.27,5.56,4.97,,304.0
2016-09-27 21:50:00+00:00,1.34,5.88,5.26,,288.0
2016-09-27 22:50:00+00:00,1.48,6.67,5.37,,295.0
2016-09-27 23:50:00+00:00,1.57,6.67,5.52,,298.0
2016-09-28 00:50:00+00:00,1.43,6.67,5.39,,297.0
2016-09-28 01:50:00+00:00,1.42,6.67,5.51,,307.0
2016-09-28 02:50:00+00:00,1.52,6.67,5.73,,294.0
2016-09-28 03:50:00+00:00,1.46,6.67,5.79,,301.0
2016-09-28 04:50:00+00:00,1.56,7.14,6.07,,286.0
2016-09-28 05:50:00+00:00,1.43,7.14,5.94,,280.0
2016-09-28 06:50:00+00:00,1.51,6.67,5.99,,292.0
2016-09-28 07:50:00+00:00,1.46,6.67,6.14,,297.0
2016-09-28 08:50:00+00:00,1.42,7.14,6.3,,290.0
2016-09-28 09:50:00+00:00,1.48,6.67,6.53,,305.0
2016-09-28 10:50:00+00:00,1.27,6.67,6.27,,307.0
2016-09-28 11:50:00+00:00,1.25,12.12,6.36,,263.0
2016-09-28 12:50:00+00:00,1.21,6.67,6.13,,281.0
2016-09-28 13:50:00+00:00,1.18,12.12,6.26,,266.0
2016-09-28 14:50:00+00:00,1.15,7.69,6.18,,254.0
2016-09-28 15:50:00+00:00,1.23,7.69,6.39,,257.0
