date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2016-09-24 16:26:00+00:00,0.8,11.11,7.34,,290.0
2016-09-24 16:56:00+00:00,0.79,10.53,6.88,,277.0
2016-09-24 17:26:00+00:00,0.89,9.88,7.18,,284.0
2016-09-24 17:56:00+00:00,0.82,11.11,6.75,,291.0
2016-09-24 18:26:00+00:00,0.89,10.53,5.9,,284.0
2016-09-24 18:56:00+00:00,0.96,11.11,5.29,,291.0
2016-09-24 19:56:00+00:00,1.08,9.88,4.7,,269.0
2016-09-24 20:26:00+00:00,1.15,9.88,4.6,,282.0
2016-09-24 20:56:00+00:00,1.22,9.88,4.57,,263.0
2016-09-24 21:26:00+00:00,1.28,11.11,4.47,,287.0
2016-09-24 22:26:00+00:00,1.3,11.11,4.63,,284.0
2016-09-24 23:26:00+00:00,1.52,11.11,4.79,,303.0
2016-09-24 23:56:00+00:00,1.5,11.11,4.74,,293.0
2016-09-25 00:56:00+00:00,1.52,11.11,4.78,,290.0
2016-09-25 01:26:00+00:00,1.45,9.88,4.94,,277.0
2016-09-25 01:56:00+00:00,1.51,10.53,5.14,,301.0
2016-09-25 02:56:00+00:00,1.42,9.88,4.95,,287.0
2016-09-25 03:26:00+00:00,1.54,9.88,5.22,,286.0
2016-09-25 03:56:00+00:00,1.4,10.53,5.01,,293.0
2016-09-25 04:26:00+00:00,1.4,10.53,5.03,,293.0
2016-09-25 04:56:00+00:00,1.32,9.88,4.77,,290.0
2016-09-25 05:26:00+00:00,1.29,9.88,4.58,,286.0
2016-09-25 05:56:00+00:00,1.34,11.11,4.82,,284.0
2016-09-25 06:26:00+00:00,1.34,10.53,4.95,,276.0
2016-09-25 07:26:00+00:00,1.38,10.53,4.87,,296.0
2016-09-25 07:56:00+00:00,1.35,10.53,4.88,,286.0
2016-09-25 08:26:00+00:00,1.35,10.53,5.01,,284.0
2016-09-25 08:56:00+00:00,1.32,10.53,5.01,,279.0
2016-09-25 09:26:00+00:00,1.3,11.76,5.09,,287.0
2016-09-25 09:56:00+00:00,1.33,11.76,5.04,,287.0
2016-09-25 10:26:00+00:00,1.34,9.88,5.29,,276.0
2016-09-25 10:56:00+00:00,1.21,10.53,5.02,,294.0
2016-09-25 11:56:00+00:00,1.28,9.88,5.54,,277.0
2016-09-25 12:26:00+00:00,1.26,11.76,5.75,,296.0
2016-09-25 12:56:00+00:00,1.21,12.5,5.68,,290.0
2016-09-25 13:26:00+00:00,1.27,11.76,5.9,,291.0
2016-09-25 13:56:00+00:00,1.23,11.11,5.65,,291.0
2016-09-25 14:56:00+00:00,1.23,10.53,5.44,,289.0
2016-09-25 15:26:00+00:00,1.23,11.11,5.62,,287.0
2016-09-25 15:56:00+00:00,1.18,10.53,5.66,,289.0
