date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2016-09-24 16:26:00+00:00,0.92,11.11,4.49,,306.0
2016-09-24 16:56:00+00:00,0.87,11.11,4.29,,303.0
2016-09-24 17:56:00+00:00,0.92,11.11,5.04,,313.0
2016-09-24 18:26:00+00:00,0.81,11.11,4.69,,306.0
2016-09-24 18:56:00+00:00,0.77,11.11,4.84,,321.0
2016-09-24 19:56:00+00:00,0.82,11.11,5.57,,316.0
2016-09-24 20:26:00+00:00,0.7,11.76,5.39,,307.0
2016-09-24 20:56:00+00:00,0.77,11.11,6.0,,312.0
2016-09-24 21:26:00+00:00,0.76,11.11,6.08,,321.0
2016-09-24 22:26:00+00:00,0.73,11.11,5.91,,324.0
2016-09-24 23:26:00+00:00,0.81,9.88,6.32,,323.0
2016-09-24 23:56:00+00:00,0.74,10.53,5.88,,319.0
2016-09-25 00:56:00+00:00,0.71,11.11,5.46,,313.0
2016-09-25 01:26:00+00:00,0.75,11.11,5.7,,312.0
2016-09-25 01:56:00+00:00,0.79,11.11,5.88,,314.0
2016-09-25 02:56:00+00:00,0.76,11.11,5.16,,314.0
2016-09-25 03:56:00+00:00,0.77,9.88,5.56,,319.0
2016-09-25 04:26:00+00:00,0.8,9.88,5.62,,307.0
2016-09-25 04:56:00+00:00,0.8,10.53,6.06,,320.0
2016-09-25 05:26:00+00:00,0.75,9.88,5.96,,305.0
2016-09-25 05:56:00+00:00,0.77,11.11,6.27,,313.0
2016-09-25 06:26:00+00:00,0.81,11.11,6.6,,309.0
2016-09-25 07:26:00+00:00,0.69,11.76,6.4,,310.0
2016-09-25 07:56:00+00:00,0.76,11.11,7.1,,320.0
2016-09-25 08:26:00+00:00,0.75,11.11,7.0,,320.0
2016-09-25 08:56:00+00:00,0.74,11.76,6.4,,316.0
2016-09-25 09:26:00+00:00,0.79,11.11,6.49,,312.0
2016-09-25 09:56:00+00:00,0.75,11.11,5.61,,316.0
2016-09-25 10:26:00+00:00,0.73,11.76,5.35,,324.0
2016-09-25 10:56:00+00:00,0.77,12.5,5.46,,321.0
2016-09-25 11:56:00+00:00,0.79,11.76,4.74,,323.0
2016-09-25 12:26:00+00:00,0.9,11.76,4.75,,319.0
2016-09-25 12:56:00+00:00,0.94,11.76,4.7,,326.0
2016-09-25 13:26:00+00:00,1.07,11.76,5.15,,324.0
2016-09-25 13:56:00+00:00,1.02,11.11,4.64,,324.0
2016-09-25 14:56:00+00:00,1.07,11.76,4.43,,327.0
2016-09-25 15:26:00+00:00,1.09,11.11,4.45,,324.0
2016-09-25 15:56:00+00:00,1.06,10.53,4.5,,323.0
2016-09-25 16:26:00+00:00,1.11,11.11,4.37,,316.0
2016-09-25 16:56:00+00:00,1.11,9.88,4.44,,303.0
2016-09-25 17:26:00+00:00,1.09,10.53,4.38,,321.0
2016-09-25 17:56:00+00:00,1.15,11.11,4.76,,314.0
2016-09-25 18:26:00+00:00,1.05,10.53,4.48,,319.0
2016-09-25 19:26:00+00:00,1.1,10.53,4.38,,295.0
2016-09-25 19:56:00+00:00,1.06,10.53,4.42,,306.0
2016-09-25 20:56:00+00:00,1.04,5.0,4.19,,262.0
2016-09-25 21:26:00+00:00,1.04,9.88,4.17,,313.0
2016-09-25 21:56:00+00:00,1.13,10.53,4.27,,323.0
2016-09-25 22:26:00+00:00,1.09,5.0,4.18,,253.0
2016-09-25 22:56:00+00:00,1.07,4.76,4.23,,257.0
2016-09-25 23:56:00+00:00,1.14,4.55,4.09,,257.0
2016-09-26 00:26:00+00:00,1.15,9.88,4.16,,327.0
2016-09-26 00:56:00+00:00,1.15,9.88,4.09,,313.0
2016-09-26 01:56:00+00:00,1.15,5.56,3.95,,267.0
2016-09-26 02:26:00+00:00,1.15,4.76,3.9,,265.0
2016-09-26 02:56:00+00:00,1.1,5.0,3.97,,260.0
2016-09-26 03:56:00+00:00,1.13,5.26,4.0,,261.0
2016-09-26 04:26:00+00:00,1.13,5.26,3.97,,269.0
2016-09-26 04:56:00+00:00,1.11,5.56,4.14,,268.0
2016-09-26 05:26:00+00:00,1.15,5.56,4.14,,272.0
2016-09-26 06:26:00+00:00,1.15,5.26,4.23,,269.0
2016-09-26 07:56:00+00:00,1.03,5.0,4.27,,267.0
2016-09-26 08:26:00+00:00,0.98,5.26,4.25,,269.0
2016-09-26 08:56:00+00:00,0.92,5.56,4.26,,264.0
2016-09-26 10:56:00+00:00,0.85,5.0,3.92,,260.0
2016-09-26 11:26:00+00:00,0.86,4.76,3.8,,264.0
2016-09-26 11:56:00+00:00,0.89,3.33,3.77,,243.0
2016-09-26 12:56:00+00:00,0.97,4.55,3.77,,261.0
2016-09-26 13:26:00+00:00,0.94,4.0,3.73,,255.0
2016-09-26 13:56:00+00:00,0.97,4.0,3.74,,268.0
2016-09-26 14:56:00+00:00,0.97,4.35,3.78,,268.0
2016-09-26 15:26:00+00:00,0.95,4.76,3.76,,255.0
2016-09-26 15:56:00+00:00,0.97,4.0,3.77,,258.0
2016-09-26 16:26:00+00:00,1.0,5.0,3.88,,267.0
2016-09-26 16:56:00+00:00,0.95,5.0,3.91,,264.0
2016-09-26 17:26:00+00:00,0.95,5.0,3.95,,264.0
2016-09-26 17:56:00+00:00,0.95,5.0,3.88,,272.0
2016-09-26 18:26:00+00:00,0.98,4.55,4.04,,264.0
2016-09-26 18:56:00+00:00,0.97,4.76,3.99,,269.0
2016-09-26 19:26:00+00:00,0.99,5.0,3.96,,258.0
2016-09-26 19:56:00+00:00,0.95,4.76,4.06,,264.0
2016-09-26 20:26:00+00:00,0.92,4.76,3.98,,271.0
2016-09-26 20:56:00+00:00,0.89,5.0,4.08,,269.0
2016-09-26 21:26:00+00:00,0.95,5.0,4.12,,262.0
2016-09-26 21:56:00+00:00,0.88,5.26,4.04,,276.0
2016-09-26 22:56:00+00:00,0.87,4.55,4.14,,269.0
2016-09-26 23:26:00+00:00,0.89,4.55,4.05,,269.0
2016-09-27 00:26:00+00:00,0.82,3.85,3.98,,282.0
2016-09-27 01:26:00+00:00,0.85,4.35,3.99,,282.0
2016-09-27 01:56:00+00:00,0.87,4.35,3.82,,295.0
2016-09-27 02:26:00+00:00,0.89,4.0,3.8,,303.0
2016-09-27 03:26:00+00:00,0.97,4.35,3.75,,293.0
2016-09-27 03:56:00+00:00,0.96,4.35,3.74,,300.0
2016-09-27 04:56:00+00:00,0.94,4.76,3.85,,300.0
2016-09-27 05:56:00+00:00,0.94,5.0,3.85,,306.0
2016-09-27 06:56:00+00:00,0.95,4.55,3.92,,306.0
2016-09-27 07:26:00+00:00,0.94,5.0,4.06,,309.0
2016-09-27 08:56:00+00:00,0.9,5.0,4.35,,305.0
2016-09-27 09:26:00+00:00,0.87,5.0,4.4,,310.0
2016-09-27 09:56:00+00:00,0.85,7.69,4.43,,321.0
2016-09-27 10:56:00+00:00,0.82,7.14,4.85,,320.0
2016-09-27 11:26:00+00:00,0.85,7.69,4.9,,314.0
2016-09-27 11:56:00+00:00,0.77,4.55,4.81,,309.0
2016-09-27 12:26:00+00:00,0.79,4.76,4.9,,321.0
2016-09-27 12:56:00+00:00,0.77,5.56,4.86,,317.0
2016-09-27 13:26:00+00:00,0.77,5.0,4.9,,306.0
2016-09-27 13:56:00+00:00,0.74,5.26,4.8,,316.0
2016-09-27 14:26:00+00:00,0.69,5.26,4.73,,313.0
2016-09-27 14:56:00+00:00,0.72,6.25,4.74,,317.0
2016-09-27 15:26:00+00:00,0.76,6.25,4.77,,307.0
2016-09-27 16:26:00+00:00,0.76,13.33,4.84,,324.0
2016-09-27 16:56:00+00:00,0.75,5.88,4.61,,289.0
2016-09-27 17:26:00+00:00,0.74,5.88,4.63,,291.0
2016-09-27 17:56:00+00:00,0.75,5.88,4.82,,296.0
2016-09-27 18:26:00+00:00,0.74,6.25,4.75,,296.0
2016-09-27 18:56:00+00:00,0.73,5.88,4.96,,291.0
2016-09-27 19:26:00+00:00,0.76,5.88,5.08,,293.0
2016-09-27 19:56:00+00:00,0.74,12.5,5.22,,326.0
2016-09-27 20:26:00+00:00,0.71,6.25,5.06,,298.0
2016-09-27 20:56:00+00:00,0.72,12.5,5.29,,319.0
2016-09-27 21:26:00+00:00,0.7,6.25,5.06,,296.0
2016-09-27 21:56:00+00:00,0.71,6.25,5.3,,293.0
2016-09-27 22:26:00+00:00,0.71,12.5,5.36,,316.0
2016-09-27 22:56:00+00:00,0.72,6.67,5.72,,300.0
2016-09-27 23:26:00+00:00,0.72,12.5,5.6,,321.0
2016-09-27 23:56:00+00:00,0.7,12.5,5.64,,316.0
2016-09-28 00:56:00+00:00,0.67,11.76,5.6,,317.0
2016-09-28 01:56:00+00:00,0.65,11.76,5.5,,323.0
2016-09-28 02:26:00+00:00,0.65,11.76,5.42,,326.0
2016-09-28 02:56:00+00:00,0.69,11.76,5.72,,326.0
2016-09-28 03:26:00+00:00,0.69,11.76,5.37,,323.0
2016-09-28 03:56:00+00:00,0.68,11.76,5.24,,319.0
2016-09-28 04:26:00+00:00,0.72,11.76,5.23,,321.0
2016-09-28 04:56:00+00:00,0.74,11.76,5.5,,317.0
2016-09-28 05:56:00+00:00,0.74,6.67,5.15,,295.0
2016-09-28 06:26:00+00:00,0.73,11.76,5.28,,317.0
2016-09-28 07:26:00+00:00,0.79,6.25,5.58,,292.0
2016-09-28 08:26:00+00:00,0.76,6.67,5.82,,300.0
2016-09-28 09:26:00+00:00,0.72,6.25,5.98,,302.0
2016-09-28 09:56:00+00:00,0.76,6.67,6.12,,302.0
2016-09-28 10:26:00+00:00,0.74,6.67,6.06,,307.0
2016-09-28 10:56:00+00:00,0.71,7.14,6.13,,302.0
2016-09-28 11:56:00+00:00,0.68,7.14,6.29,,307.0
2016-09-28 12:26:00+00:00,0.68,7.14,6.33,,316.0
2016-09-28 12:56:00+00:00,0.69,7.14,6.18,,310.0
2016-09-28 13:26:00+00:00,0.66,7.14,5.94,,316.0
