date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2016-09-24 15:50:00+00:00,0.74,10.81,5.72,,265.0
2016-09-24 16:50:00+00:00,0.82,10.0,6.34,,283.0
2016-09-24 17:50:00+00:00,0.82,10.0,6.43,,296.0
2016-09-24 18:50:00+00:00,0.8,11.43,6.86,,297.0
2016-09-24 19:50:00+00:00,0.8,11.43,7.11,,298.0
2016-09-24 20:50:00+00:00,0.72,11.43,7.07,,289.0
2016-09-24 21:50:00+00:00,0.77,11.43,7.14,,271.0
2016-09-24 22:50:00+00:00,0.84,10.81,7.26,,274.0
2016-09-24 23:50:00+00:00,0.86,10.81,7.61,,270.0
2016-09-25 00:50:00+00:00,0.78,10.81,7.12,,275.0
2016-09-25 01:50:00+00:00,0.87,10.0,7.6,,281.0
2016-09-25 02:50:00+00:00,0.94,10.0,7.81,,273.0
2016-09-25 03:50:00+00:00,0.89,10.0,7.52,,283.0
2016-09-25 04:50:00+00:00,0.8,11.43,7.04,,285.0
2016-09-25 05:50:00+00:00,0.98,10.81,7.71,,279.0
2016-09-25 06:50:00+00:00,0.99,11.43,8.04,,272.0
2016-09-25 07:50:00+00:00,0.9,11.43,7.89,,270.0
2016-09-25 08:50:00+00:00,0.99,10.81,8.73,,278.0
2016-09-25 09:50:00+00:00,0.93,11.43,8.52,,276.0
2016-09-25 10:50:00+00:00,0.79,12.12,8.13,,270.0
2016-09-25 11:50:00+00:00,0.83,11.43,8.16,,257.0
2016-09-25 12:50:00+00:00,0.83,10.81,6.8,,278.0
2016-09-25 13:50:00+00:00,0.92,11.43,5.98,,285.0
2016-09-25 14:50:00+00:00,0.96,10.0,5.44,,286.0
2016-09-25 15:50:00+00:00,1.04,10.0,4.94,,292.0
2016-09-25 16:50:00+00:00,1.09,10.0,4.73,,304.0
2016-09-25 17:50:00+00:00,1.14,11.43,4.76,,295.0
2016-09-25 18:50:00+00:00,1.05,10.81,4.61,,302.0
2016-09-25 19:50:00+00:00,1.16,10.81,5.02,,302.0
