,0
station,urn:ioos:station:wmo:pvgf1
station_name,"Port Everglades Channel, FL"
station_code,pvgf1
sensor,urn:ioos:sensor:wmo:pvgf1::anemometer1
lon,-80.109
lat,26.092
depth,-3.5
