,0
station,urn:ioos:station:wmo:spgf1
station_name,"Settlement Point, GBI, Bahamas"
station_code,spgf1
sensor,urn:ioos:sensor:wmo:spgf1::anemometer1
lon,-78.995
lat,26.704
depth,-6.6
