,0
station,urn:ioos:station:wmo:cdrf1
station_name,"Cedar Key, FL"
station_code,cdrf1
sensor,urn:ioos:sensor:wmo:cdrf1::anemometer1
lon,-83.029
lat,29.136
depth,-10.0
