date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2018-08-26 12:00:00+00:00,0.57,6.67,3.57,,293.0
2018-08-26 14:30:00+00:00,0.59,4.76,3.66,,298.0
2018-08-26 16:00:00+00:00,0.57,2.94,3.41,,237.0
2018-08-26 16:30:00+00:00,0.57,3.03,3.43,,243.0
2018-08-26 18:00:00+00:00,0.55,6.25,3.52,,310.0
2018-08-26 20:30:00+00:00,0.5,7.14,3.51,,307.0
2018-08-26 21:00:00+00:00,0.51,7.69,3.78,,302.0
2018-08-27 00:00:00+00:00,0.55,7.14,3.66,,310.0
2018-08-27 00:30:00+00:00,0.52,5.88,3.91,,306.0
2018-08-27 01:00:00+00:00,0.49,7.14,4.02,,313.0
2018-08-27 03:00:00+00:00,0.48,7.69,4.28,,330.0
2018-08-27 03:30:00+00:00,0.54,7.69,4.43,,314.0
2018-08-27 04:00:00+00:00,0.52,7.14,4.32,,316.0
2018-08-27 04:30:00+00:00,0.51,7.69,4.43,,323.0
2018-08-27 05:00:00+00:00,0.52,3.33,4.34,,329.0
2018-08-27 06:00:00+00:00,0.52,7.14,4.36,,330.0
2018-08-27 07:30:00+00:00,0.5,7.69,4.22,,316.0
2018-08-27 08:30:00+00:00,0.49,6.67,4.44,,317.0
2018-08-27 09:00:00+00:00,0.48,6.25,4.53,,326.0
2018-08-27 09:30:00+00:00,0.48,7.14,4.73,,317.0
2018-08-27 10:00:00+00:00,0.48,7.14,4.89,,323.0
2018-08-27 10:30:00+00:00,0.47,6.67,4.88,,317.0
2018-08-27 11:30:00+00:00,0.46,7.14,4.96,,317.0
2018-08-27 13:30:00+00:00,0.45,7.14,5.11,,313.0
2018-08-27 14:00:00+00:00,0.45,7.14,5.31,,321.0
2018-08-27 14:30:00+00:00,0.46,7.14,5.06,,326.0
2018-08-27 15:00:00+00:00,0.43,7.14,4.88,,314.0
2018-08-27 16:00:00+00:00,0.43,7.14,5.3,,317.0
