date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2018-08-26 12:00:00+00:00,0.47,6.25,5.13,,221.0
2018-08-26 14:30:00+00:00,0.46,6.25,4.96,,214.0
2018-08-26 16:00:00+00:00,0.7,6.67,3.99,,207.0
2018-08-26 16:30:00+00:00,0.83,6.67,3.93,,198.0
2018-08-26 18:00:00+00:00,0.61,7.14,4.51,,213.0
2018-08-26 20:30:00+00:00,0.46,6.25,4.71,,106.0
2018-08-26 21:00:00+00:00,0.48,6.25,4.79,,146.0
2018-08-27 00:00:00+00:00,0.42,7.14,4.9,,165.0
2018-08-27 00:30:00+00:00,0.44,6.25,4.83,,172.0
2018-08-27 01:00:00+00:00,0.41,6.67,4.65,,130.0
2018-08-27 03:00:00+00:00,0.39,7.14,4.6,,141.0
2018-08-27 03:30:00+00:00,0.39,5.88,4.43,,134.0
2018-08-27 04:00:00+00:00,0.4,7.14,4.54,,141.0
2018-08-27 04:30:00+00:00,0.41,5.88,4.68,,127.0
2018-08-27 05:00:00+00:00,0.38,6.25,4.8,,131.0
2018-08-27 06:00:00+00:00,0.39,6.25,4.7,,84.0
2018-08-27 07:30:00+00:00,0.41,6.67,4.56,,141.0
2018-08-27 08:30:00+00:00,0.39,6.25,4.52,,148.0
2018-08-27 09:00:00+00:00,0.39,6.25,4.82,,108.0
2018-08-27 09:30:00+00:00,0.37,6.67,4.68,,109.0
2018-08-27 10:00:00+00:00,0.38,6.25,4.65,,86.0
2018-08-27 10:30:00+00:00,0.38,5.56,4.65,,176.0
2018-08-27 11:30:00+00:00,0.36,5.88,4.33,,72.0
2018-08-27 13:30:00+00:00,0.42,6.67,3.76,,213.0
2018-08-27 14:00:00+00:00,0.42,7.14,3.74,,212.0
2018-08-27 14:30:00+00:00,0.45,6.67,3.72,,207.0
2018-08-27 15:00:00+00:00,0.46,7.14,3.69,,174.0
2018-08-27 16:00:00+00:00,0.46,6.25,3.82,,202.0
2018-08-27 17:00:00+00:00,0.69,3.23,3.7,,214.0
2018-08-27 18:30:00+00:00,0.79,4.0,3.65,,207.0
2018-08-27 20:00:00+00:00,0.55,5.88,3.93,,176.0
2018-08-27 20:30:00+00:00,0.53,6.25,3.8,,134.0
2018-08-27 21:00:00+00:00,0.52,5.56,3.88,,155.0
2018-08-27 21:30:00+00:00,0.46,5.88,4.18,,108.0
2018-08-27 23:00:00+00:00,0.43,6.25,4.14,,123.0
2018-08-27 23:30:00+00:00,0.44,5.56,4.19,,130.0
2018-08-28 00:00:00+00:00,0.41,6.67,4.18,,153.0
2018-08-28 00:30:00+00:00,0.39,6.25,4.46,,95.0
2018-08-28 01:00:00+00:00,0.35,6.25,4.54,,89.0
2018-08-28 01:30:00+00:00,0.36,6.67,4.66,,150.0
2018-08-28 03:30:00+00:00,0.36,6.25,4.48,,199.0
2018-08-28 04:00:00+00:00,0.39,5.56,4.42,,165.0
2018-08-28 05:00:00+00:00,0.37,6.25,4.26,,165.0
2018-08-28 05:30:00+00:00,0.4,6.25,4.24,,119.0
2018-08-28 06:00:00+00:00,0.41,6.67,4.09,,181.0
2018-08-28 06:30:00+00:00,0.43,6.25,4.32,,216.0
2018-08-28 07:00:00+00:00,0.4,5.56,4.34,,193.0
2018-08-28 07:30:00+00:00,0.4,5.26,4.43,,192.0
2018-08-28 08:30:00+00:00,0.4,6.25,4.45,,134.0
2018-08-28 09:00:00+00:00,0.37,7.14,4.5,,182.0
2018-08-28 10:00:00+00:00,0.36,5.88,4.4,,99.0
2018-08-28 12:30:00+00:00,0.34,5.88,4.51,,176.0
2018-08-28 13:00:00+00:00,0.33,6.25,4.45,,182.0
2018-08-28 13:30:00+00:00,0.33,5.56,4.58,,198.0
2018-08-28 14:30:00+00:00,0.35,6.67,4.71,,181.0
2018-08-28 15:00:00+00:00,0.35,6.67,4.52,,196.0
2018-08-28 15:30:00+00:00,0.42,6.25,4.1,,202.0
2018-08-28 16:00:00+00:00,0.54,3.12,3.66,,212.0
2018-08-28 16:30:00+00:00,0.56,3.23,3.79,,216.0
2018-08-28 17:00:00+00:00,0.53,6.25,4.04,,200.0
2018-08-28 17:30:00+00:00,0.55,3.7,4.08,,207.0
2018-08-28 18:00:00+00:00,0.54,4.0,4.26,,205.0
2018-08-28 18:30:00+00:00,0.47,6.67,4.52,,186.0
2018-08-28 19:00:00+00:00,0.43,5.88,4.16,,174.0
2018-08-28 19:30:00+00:00,0.39,6.25,4.29,,157.0
2018-08-28 20:00:00+00:00,0.39,6.25,3.94,,136.0
2018-08-28 20:30:00+00:00,0.4,6.25,4.22,,181.0
2018-08-28 21:00:00+00:00,0.41,5.88,3.81,,158.0
2018-08-28 21:30:00+00:00,0.41,5.26,3.85,,146.0
2018-08-28 22:00:00+00:00,0.41,5.88,4.11,,115.0
2018-08-28 22:30:00+00:00,0.38,6.67,4.11,,102.0
2018-08-28 23:00:00+00:00,0.36,5.88,4.39,,74.0
2018-08-28 23:30:00+00:00,0.34,7.14,4.41,,191.0
2018-08-29 00:00:00+00:00,0.37,6.25,4.06,,151.0
2018-08-29 00:30:00+00:00,0.34,7.14,4.0,,179.0
2018-08-29 01:00:00+00:00,0.33,7.14,4.49,,192.0
2018-08-29 01:30:00+00:00,0.33,5.88,4.42,,164.0
2018-08-29 02:00:00+00:00,0.35,5.88,4.1,,178.0
2018-08-29 02:30:00+00:00,0.36,5.88,4.25,,209.0
2018-08-29 03:00:00+00:00,0.38,6.25,4.19,,195.0
2018-08-29 03:30:00+00:00,0.36,6.67,4.02,,192.0
2018-08-29 04:00:00+00:00,0.39,5.26,4.1,,186.0
2018-08-29 04:30:00+00:00,0.39,5.88,4.14,,192.0
2018-08-29 05:00:00+00:00,0.41,6.25,4.42,,179.0
2018-08-29 05:30:00+00:00,0.4,5.26,4.29,,192.0
2018-08-29 06:00:00+00:00,0.47,7.14,4.29,,200.0
2018-08-29 06:30:00+00:00,0.53,5.26,4.22,,207.0
2018-08-29 07:00:00+00:00,0.53,6.67,4.23,,217.0
2018-08-29 07:30:00+00:00,0.54,5.26,4.32,,207.0
2018-08-29 08:00:00+00:00,0.48,6.25,4.18,,219.0
2018-08-29 08:30:00+00:00,0.46,5.56,4.22,,213.0
2018-08-29 09:00:00+00:00,0.41,6.25,4.24,,206.0
2018-08-29 09:30:00+00:00,0.42,5.56,4.15,,175.0
2018-08-29 10:00:00+00:00,0.41,5.88,4.32,,195.0
2018-08-29 10:30:00+00:00,0.41,5.88,4.45,,181.0
2018-08-29 11:00:00+00:00,0.39,5.26,4.34,,181.0
2018-08-29 11:30:00+00:00,0.41,6.25,4.64,,216.0
2018-08-29 12:00:00+00:00,0.39,5.88,4.68,,212.0
2018-08-29 12:30:00+00:00,0.36,6.25,4.71,,217.0
2018-08-29 13:00:00+00:00,0.34,6.67,4.81,,192.0
2018-08-29 13:30:00+00:00,0.34,5.88,4.5,,172.0
2018-08-29 14:00:00+00:00,0.35,6.25,3.88,,147.0
2018-08-29 14:30:00+00:00,0.42,7.14,3.52,,138.0
2018-08-29 15:00:00+00:00,0.48,2.7,3.29,,228.0
2018-08-29 15:30:00+00:00,0.53,3.03,3.33,,219.0
2018-08-29 16:00:00+00:00,0.51,2.94,3.59,,221.0
2018-08-29 16:30:00+00:00,0.58,3.23,3.6,,216.0
2018-08-29 17:00:00+00:00,0.68,3.33,3.59,,223.0
2018-08-29 17:30:00+00:00,0.75,3.7,3.61,,220.0
2018-08-29 18:00:00+00:00,0.74,3.7,3.75,,219.0
2018-08-29 18:30:00+00:00,0.67,4.0,4.02,,206.0
2018-08-29 19:00:00+00:00,0.74,3.33,3.75,,226.0
2018-08-29 19:30:00+00:00,0.68,3.45,3.62,,221.0
2018-08-29 20:00:00+00:00,0.65,3.23,3.57,,233.0
2018-08-29 20:30:00+00:00,0.56,5.88,3.86,,207.0
2018-08-29 21:00:00+00:00,0.56,6.25,3.68,,162.0
2018-08-29 21:30:00+00:00,0.55,5.56,3.34,,186.0
2018-08-29 22:00:00+00:00,0.61,6.25,3.24,,167.0
2018-08-29 22:30:00+00:00,0.62,6.25,3.39,,178.0
2018-08-29 23:00:00+00:00,0.69,5.88,3.44,,172.0
