date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2018-08-26 12:00:00+00:00,0.75,5.56,5.21,,255.0
2018-08-26 14:30:00+00:00,0.72,6.25,4.94,,259.0
2018-08-26 16:00:00+00:00,0.65,5.56,5.28,,258.0
2018-08-26 16:30:00+00:00,0.65,5.88,5.35,,263.0
2018-08-26 18:00:00+00:00,0.61,5.88,5.2,,265.0
2018-08-26 20:30:00+00:00,0.66,5.26,4.51,,263.0
2018-08-26 21:00:00+00:00,0.69,5.56,4.36,,248.0
2018-08-27 00:00:00+00:00,0.69,7.69,4.0,,270.0
2018-08-27 00:30:00+00:00,0.65,4.76,4.15,,246.0
2018-08-27 01:00:00+00:00,0.65,5.88,4.19,,229.0
2018-08-27 03:00:00+00:00,0.57,5.88,5.09,,246.0
2018-08-27 03:30:00+00:00,0.55,6.25,5.17,,256.0
2018-08-27 04:00:00+00:00,0.51,5.88,5.43,,246.0
2018-08-27 04:30:00+00:00,0.49,6.25,5.75,,258.0
2018-08-27 05:00:00+00:00,0.49,6.25,5.87,,258.0
2018-08-27 06:00:00+00:00,0.47,6.25,6.12,,263.0
2018-08-27 07:30:00+00:00,0.44,7.69,6.18,,276.0
2018-08-27 08:30:00+00:00,0.42,5.88,6.17,,269.0
2018-08-27 09:00:00+00:00,0.41,8.33,6.24,,265.0
2018-08-27 09:30:00+00:00,0.43,7.69,5.92,,280.0
2018-08-27 10:00:00+00:00,0.43,6.25,6.14,,283.0
2018-08-27 10:30:00+00:00,0.42,7.69,6.28,,286.0
2018-08-27 11:30:00+00:00,0.4,7.14,6.07,,283.0
2018-08-27 13:30:00+00:00,0.41,6.67,5.24,,293.0
2018-08-27 14:00:00+00:00,0.4,7.69,4.74,,277.0
2018-08-27 14:30:00+00:00,0.41,6.67,5.28,,293.0
2018-08-27 15:00:00+00:00,0.41,13.33,5.19,,287.0
2018-08-27 16:00:00+00:00,0.4,12.5,4.84,,307.0
2018-08-27 17:00:00+00:00,0.37,13.33,5.69,,273.0
2018-08-27 18:30:00+00:00,0.36,7.14,6.72,,280.0
2018-08-27 20:00:00+00:00,0.33,9.09,6.46,,284.0
2018-08-27 20:30:00+00:00,0.35,7.69,6.26,,282.0
2018-08-27 21:00:00+00:00,0.34,9.09,5.23,,277.0
2018-08-27 21:30:00+00:00,0.38,7.69,4.62,,287.0
2018-08-27 23:00:00+00:00,0.44,7.69,3.69,,289.0
2018-08-27 23:30:00+00:00,0.43,7.69,3.95,,289.0
2018-08-28 00:00:00+00:00,0.43,8.33,4.22,,293.0
2018-08-28 00:30:00+00:00,0.4,9.09,4.31,,293.0
2018-08-28 01:00:00+00:00,0.36,7.69,4.95,,296.0
2018-08-28 01:30:00+00:00,0.37,8.33,4.81,,290.0
2018-08-28 03:30:00+00:00,0.35,8.33,5.35,,289.0
2018-08-28 04:00:00+00:00,0.34,7.69,4.77,,294.0
2018-08-28 05:00:00+00:00,0.34,9.09,5.78,,289.0
2018-08-28 05:30:00+00:00,0.35,7.69,5.62,,296.0
2018-08-28 06:00:00+00:00,0.34,7.69,5.66,,298.0
2018-08-28 06:30:00+00:00,0.34,7.69,5.86,,298.0
2018-08-28 07:00:00+00:00,0.32,7.69,6.08,,297.0
2018-08-28 07:30:00+00:00,0.34,7.69,6.11,,300.0
2018-08-28 08:00:00+00:00,0.34,8.33,6.32,,293.0
2018-08-28 08:30:00+00:00,0.34,7.14,6.93,,300.0
2018-08-28 09:00:00+00:00,0.33,7.69,7.27,,294.0
2018-08-28 10:00:00+00:00,0.34,7.14,7.03,,301.0
2018-08-28 12:30:00+00:00,0.36,7.14,6.85,,301.0
2018-08-28 13:00:00+00:00,0.35,6.67,6.56,,307.0
2018-08-28 13:30:00+00:00,0.34,6.25,6.24,,307.0
2018-08-28 14:00:00+00:00,0.33,7.14,6.21,,305.0
2018-08-28 14:30:00+00:00,0.32,6.67,6.55,,305.0
2018-08-28 15:00:00+00:00,0.31,13.33,6.24,,294.0
2018-08-28 15:30:00+00:00,0.31,7.69,6.23,,303.0
2018-08-28 16:00:00+00:00,0.31,7.14,6.46,,301.0
2018-08-28 16:30:00+00:00,0.29,7.14,6.12,,298.0
2018-08-28 17:00:00+00:00,0.29,7.14,6.25,,304.0
2018-08-28 17:30:00+00:00,0.28,7.69,6.81,,297.0
2018-08-28 18:00:00+00:00,0.28,7.14,6.59,,304.0
2018-08-28 18:30:00+00:00,0.27,7.14,6.93,,301.0
2018-08-28 19:00:00+00:00,0.29,7.14,6.99,,303.0
2018-08-28 19:30:00+00:00,0.3,7.14,6.99,,297.0
2018-08-28 20:00:00+00:00,0.28,7.14,6.08,,296.0
2018-08-28 20:30:00+00:00,0.33,7.69,4.34,,296.0
2018-08-28 21:00:00+00:00,0.35,7.69,4.14,,287.0
2018-08-28 21:30:00+00:00,0.39,7.14,3.7,,296.0
