date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2018-08-26 12:00:00+00:00,0.56,9.09,4.78,,215.0
2018-08-26 14:30:00+00:00,0.54,9.09,4.75,,219.0
2018-08-26 16:00:00+00:00,0.62,7.69,4.63,,233.0
2018-08-26 16:30:00+00:00,0.63,9.09,4.6,,219.0
2018-08-26 18:00:00+00:00,0.63,8.33,4.56,,218.0
2018-08-26 20:30:00+00:00,0.66,8.33,4.24,,225.0
2018-08-26 21:00:00+00:00,0.69,6.67,4.12,,234.0
2018-08-27 00:00:00+00:00,0.71,3.85,3.91,,278.0
2018-08-27 00:30:00+00:00,0.74,3.85,4.03,,284.0
2018-08-27 01:00:00+00:00,0.76,4.17,3.93,,268.0
2018-08-27 03:00:00+00:00,0.73,4.17,4.05,,272.0
2018-08-27 03:30:00+00:00,0.75,3.85,3.92,,288.0
2018-08-27 04:00:00+00:00,0.76,4.0,3.91,,277.0
2018-08-27 04:30:00+00:00,0.8,4.0,3.95,,270.0
2018-08-27 05:00:00+00:00,0.81,4.55,3.89,,253.0
2018-08-27 06:00:00+00:00,0.77,4.35,3.89,,265.0
2018-08-27 07:30:00+00:00,0.79,4.17,4.05,,268.0
2018-08-27 08:30:00+00:00,0.77,4.55,4.03,,261.0
2018-08-27 09:00:00+00:00,0.73,4.35,4.01,,258.0
2018-08-27 09:30:00+00:00,0.69,4.76,4.02,,250.0
2018-08-27 10:00:00+00:00,0.7,4.76,3.97,,250.0
2018-08-27 11:30:00+00:00,0.69,5.0,4.16,,243.0
2018-08-27 13:30:00+00:00,0.63,5.26,4.41,,236.0
2018-08-27 14:00:00+00:00,0.64,5.0,4.25,,233.0
2018-08-27 14:30:00+00:00,0.61,4.35,4.3,,253.0
2018-08-27 15:00:00+00:00,0.61,4.76,4.34,,240.0
2018-08-27 16:00:00+00:00,0.62,6.25,4.59,,234.0
2018-08-27 17:00:00+00:00,0.63,6.67,4.69,,229.0
2018-08-27 18:30:00+00:00,0.6,6.25,4.83,,234.0
2018-08-27 20:00:00+00:00,0.56,5.88,4.97,,240.0
2018-08-27 20:30:00+00:00,0.59,6.67,5.09,,243.0
2018-08-27 21:00:00+00:00,0.55,6.25,5.06,,234.0
2018-08-27 21:30:00+00:00,0.56,6.25,5.12,,242.0
2018-08-27 23:00:00+00:00,0.61,6.25,5.21,,240.0
2018-08-27 23:30:00+00:00,0.58,6.25,5.01,,250.0
2018-08-28 00:00:00+00:00,0.6,7.69,5.0,,251.0
2018-08-28 00:30:00+00:00,0.55,5.88,4.68,,244.0
2018-08-28 01:00:00+00:00,0.57,7.69,4.83,,254.0
2018-08-28 01:30:00+00:00,0.57,7.69,4.68,,257.0
2018-08-28 03:30:00+00:00,0.62,7.69,4.13,,254.0
2018-08-28 04:00:00+00:00,0.65,7.69,3.86,,246.0
2018-08-28 05:00:00+00:00,0.66,3.23,3.64,,294.0
2018-08-28 05:30:00+00:00,0.7,3.33,3.7,,282.0
2018-08-28 06:00:00+00:00,0.73,3.33,3.66,,288.0
2018-08-28 06:30:00+00:00,0.82,3.45,3.55,,294.0
2018-08-28 07:00:00+00:00,0.84,3.57,3.65,,298.0
2018-08-28 07:30:00+00:00,0.85,3.7,3.73,,295.0
2018-08-28 08:00:00+00:00,0.83,3.7,3.73,,295.0
2018-08-28 08:30:00+00:00,0.89,3.85,3.73,,302.0
2018-08-28 09:00:00+00:00,0.87,4.0,3.84,,282.0
2018-08-28 10:00:00+00:00,0.81,4.0,3.85,,284.0
2018-08-28 12:30:00+00:00,0.71,4.17,4.01,,287.0
2018-08-28 13:00:00+00:00,0.73,4.35,4.09,,284.0
2018-08-28 13:30:00+00:00,0.72,5.0,4.04,,249.0
2018-08-28 14:30:00+00:00,0.7,5.56,4.18,,227.0
2018-08-28 15:00:00+00:00,0.67,5.88,4.22,,232.0
2018-08-28 15:30:00+00:00,0.66,6.67,4.29,,229.0
2018-08-28 16:00:00+00:00,0.62,5.56,4.13,,232.0
2018-08-28 16:30:00+00:00,0.66,6.67,4.18,,240.0
2018-08-28 17:00:00+00:00,0.63,6.67,3.98,,236.0
2018-08-28 17:30:00+00:00,0.59,4.17,3.8,,274.0
2018-08-28 18:00:00+00:00,0.6,4.35,3.81,,244.0
2018-08-28 18:30:00+00:00,0.64,3.57,3.72,,287.0
