date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2018-08-26 12:00:00+00:00,0.63,8.33,4.82,,236.0
2018-08-26 14:30:00+00:00,0.57,8.33,4.93,,240.0
2018-08-26 16:00:00+00:00,0.54,9.09,5.0,,240.0
2018-08-26 16:30:00+00:00,0.53,5.56,4.9,,222.0
2018-08-26 18:00:00+00:00,0.52,6.25,4.81,,263.0
2018-08-26 20:30:00+00:00,0.52,5.88,4.87,,249.0
2018-08-26 21:00:00+00:00,0.51,5.88,5.03,,256.0
2018-08-27 00:00:00+00:00,0.52,5.88,4.35,,261.0
2018-08-27 00:30:00+00:00,0.53,5.88,4.26,,250.0
2018-08-27 01:00:00+00:00,0.51,5.56,4.24,,236.0
2018-08-27 03:00:00+00:00,0.48,6.25,4.33,,281.0
2018-08-27 03:30:00+00:00,0.48,8.33,4.22,,258.0
2018-08-27 04:00:00+00:00,0.46,7.69,4.16,,270.0
