date_time,sea_surface_wave_significant_height (m),sea_surface_wave_peak_period (s),sea_surface_wave_mean_period (s),sea_water_temperature (c),sea_surface_wave_to_direction (degree)
2018-08-26 12:00:00+00:00,0.28,6.9,,,326.0
2018-08-26 13:00:00+00:00,0.26,5.9,,,322.0
2018-08-26 14:00:00+00:00,0.24,7.3,,,310.0
2018-08-26 15:00:00+00:00,0.26,6.2,,,323.0
2018-08-26 16:00:00+00:00,0.27,7.3,,,318.0
2018-08-26 17:00:00+00:00,0.26,6.5,,,322.0
2018-08-26 18:00:00+00:00,0.26,6.9,,,325.0
2018-08-26 19:00:00+00:00,0.29,6.2,,,330.0
2018-08-26 20:00:00+00:00,0.27,6.2,,,20.0
2018-08-26 21:00:00+00:00,0.33,6.5,,,338.0
2018-08-26 22:00:00+00:00,0.27,6.2,,,329.0
2018-08-26 23:00:00+00:00,0.32,5.9,,,335.0
2018-08-27 00:00:00+00:00,0.31,5.9,,,314.0
2018-08-27 01:00:00+00:00,0.33,6.2,,,10.0
2018-08-27 02:00:00+00:00,0.33,7.7,,,355.0
2018-08-27 03:00:00+00:00,0.31,7.3,,,323.0
2018-08-27 04:00:00+00:00,0.31,6.9,,,340.0
2018-08-27 05:00:00+00:00,0.32,8.2,,,327.0
2018-08-27 06:00:00+00:00,0.35,6.5,,,350.0
2018-08-27 07:00:00+00:00,0.31,6.5,,,319.0
2018-08-27 08:00:00+00:00,0.36,7.3,,,341.0
2018-08-27 09:00:00+00:00,0.37,6.2,,,332.0
2018-08-27 10:00:00+00:00,0.36,7.3,,,312.0
2018-08-27 11:00:00+00:00,0.37,5.9,,,333.0
2018-08-27 12:00:00+00:00,0.34,6.9,,,311.0
2018-08-27 13:00:00+00:00,0.37,5.4,,,312.0
2018-08-27 14:00:00+00:00,0.32,6.5,,,333.0
2018-08-27 15:00:00+00:00,0.34,7.7,,,298.0
2018-08-27 16:00:00+00:00,0.32,6.9,,,330.0
2018-08-27 17:00:00+00:00,0.3,6.9,,,345.0
2018-08-27 18:00:00+00:00,0.35,6.9,,,339.0
2018-08-27 19:00:00+00:00,0.28,7.3,,,3.0
2018-08-27 21:00:00+00:00,0.39,6.2,,,344.0
2018-08-27 22:00:00+00:00,0.34,5.9,,,344.0
2018-08-27 23:00:00+00:00,0.38,6.5,,,329.0
2018-08-28 00:00:00+00:00,0.4,7.3,,,326.0
2018-08-28 01:00:00+00:00,0.37,6.5,,,333.0
2018-08-28 02:00:00+00:00,0.35,7.7,,,324.0
2018-08-28 03:00:00+00:00,0.35,8.2,,,333.0
2018-08-28 04:00:00+00:00,0.32,7.3,,,311.0
2018-08-28 05:00:00+00:00,0.3,8.2,,,359.0
2018-08-28 06:00:00+00:00,0.34,7.7,,,326.0
2018-08-28 07:00:00+00:00,0.36,7.7,,,330.0
2018-08-28 08:00:00+00:00,0.38,6.9,,,338.0
2018-08-28 09:00:00+00:00,0.39,6.9,,,328.0
2018-08-28 10:00:00+00:00,0.44,6.2,,,352.0
2018-08-28 11:00:00+00:00,0.44,6.9,,,314.0
2018-08-28 12:00:00+00:00,0.44,6.9,,,339.0
2018-08-28 13:00:00+00:00,0.47,5.9,,,333.0
2018-08-28 14:00:00+00:00,0.41,5.4,,,331.0
2018-08-28 15:00:00+00:00,0.41,6.9,,,334.0
2018-08-28 16:00:00+00:00,0.4,7.7,,,328.0
2018-08-28 17:00:00+00:00,0.32,6.5,,,327.0
2018-08-28 18:00:00+00:00,0.31,6.9,,,317.0
2018-08-28 19:00:00+00:00,0.36,6.9,,,321.0
2018-08-28 20:00:00+00:00,0.34,6.9,,,333.0
2018-08-28 21:00:00+00:00,0.37,6.9,,,330.0
2018-08-28 22:00:00+00:00,0.36,6.5,,,318.0
2018-08-28 23:00:00+00:00,0.38,6.2,,,327.0
2018-08-29 00:00:00+00:00,0.4,6.5,,,339.0
2018-08-29 01:00:00+00:00,0.35,5.9,,,341.0
2018-08-29 02:00:00+00:00,0.41,4.8,,,347.0
2018-08-29 03:00:00+00:00,0.38,6.2,,,333.0
2018-08-29 04:00:00+00:00,0.36,6.9,,,325.0
2018-08-29 05:00:00+00:00,0.39,6.5,,,356.0
2018-08-29 06:00:00+00:00,0.33,6.5,,,325.0
2018-08-29 07:00:00+00:00,0.4,4.8,,,351.0
2018-08-29 08:00:00+00:00,0.4,4.8,,,22.0
2018-08-29 09:00:00+00:00,0.39,4.6,,,5.0
2018-08-29 10:00:00+00:00,0.35,5.4,,,350.0
2018-08-29 11:00:00+00:00,0.37,5.0,,,1.0
2018-08-29 12:00:00+00:00,0.4,5.0,,,17.0
2018-08-29 13:00:00+00:00,0.43,5.0,,,8.0
2018-08-29 14:00:00+00:00,0.37,4.5,,,355.0
2018-08-29 15:00:00+00:00,0.36,4.5,,,14.0
2018-08-29 16:00:00+00:00,0.37,4.6,,,19.0
2018-08-29 17:00:00+00:00,0.34,4.6,,,353.0
2018-08-29 18:00:00+00:00,0.3,6.5,,,333.0
