,0
lon,-75.548100000000005
station_code,8652587
standard_name,wind_speed
units,m/s
depth,
station,urn:ioos:station:NOAA.NOS.CO-OPS:8652587
lat,35.795000000000002
station_name,"Oregon Inlet Marina, NC"
sensor,urn:ioos:sensor:NOAA.NOS.CO-OPS:8652587:C1
