,0
lon,-76.670000000000002
station_code,8656483
standard_name,wind_speed
units,m/s
depth,
station,urn:ioos:station:NOAA.NOS.CO-OPS:8656483
lat,34.719999999999999
station_name,"Beaufort, Duke Marine Lab, NC"
sensor,urn:ioos:sensor:NOAA.NOS.CO-OPS:8656483:C1
