,0
lon,-76.006699999999995
station_code,8638999
standard_name,wind_speed
units,m/s
depth,
station,urn:ioos:station:NOAA.NOS.CO-OPS:8638999
lat,36.93
station_name,"Cape Henry, VA"
sensor,urn:ioos:sensor:NOAA.NOS.CO-OPS:8638999:C1
