,0
station,urn:ioos:station:NOAA.NOS.CO-OPS:9752695
station_name,"Esperanza, Vieques Island, PR"
station_code,9752695
sensor,urn:ioos:sensor:NOAA.NOS.CO-OPS:9752695:C1
lon,-65.4714
lat,18.0939
depth,
standard_name,wind_speed
units,m/s
